Country Name,Country Code,Series Name,Series Code,2000 [YR2000],2001 [YR2001],2002 [YR2002],2003 [YR2003],2004 [YR2004],2005 [YR2005],2006 [YR2006],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024],2025 [YR2025]
Oman,OMN,"Stocks traded, total value (current US$)",CM.MKT.TRAD.CD,548600000,348000000,..,..,1971430000,3654220000,2916820000,6909370000,8799790000,5833970000,3309430000,2548940000,2662690000,5735640000,5804960000,3559680000,2459047123.14501,2385830010.09985,1916580000,1718600000,1040880000,1675560000,2314260000,844390000,..,..
Oman,OMN,Real interest rate (%),FR.INR.RINR,-6.29838736320732,14.9262280305334,3.94643678356486,-1.13581444513435,-4.05057515580795,-11.8701672014977,-6.34679636297475,-0.638442720555033,-19.4658625339234,43.1781374880598,-6.32458296829763,-8.07973379393509,2.21469423925791,7.91158154746331,3.40789682865649,29.7141921537162,15.4598093486321,-1.99936784872024,-5.80486611238394,8.30089840472333,18.2141989885354,-5.92398070330169,..,..,..,..
Oman,OMN,Domestic credit to private sector by banks (% of GDP),FD.AST.PRVT.GD.ZS,32.8286208346965,35.1535938909125,33.9703564220235,32.1772115960926,29.8651264239303,26.830213002842,26.8602293065219,30.956235629863,30.6324166632513,40.7289901088542,38.1961544617847,36.088177650699,36.8050564288413,37.7915668991683,40.9763430482454,58.1443185535433,66.6343303215979,65.9103006169305,61.0352290814006,65.0937258191226,76.5385883783203,68.1356758999911,55.7481959543922,59.7082928884214,..,..
Oman,OMN,Domestic credit to private sector (% of GDP),FS.AST.PRVT.GD.ZS,32.8286208346965,35.1535938909125,33.9703564220235,32.1772115960926,29.8651264239303,26.830213002842,26.8602293065219,30.9764844412137,30.6458183525274,40.7469449022376,38.2119108803521,36.1030456409534,36.8201690395642,37.8101763629108,40.9964363798579,58.1721127566142,66.6702330425451,65.9487621150617,61.0721758896089,65.1353364973981,76.5893899420194,68.18634950316,55.7897704553203,59.7528169403909,..,..
Oman,OMN,Energy use (kg of oil equivalent per capita),EG.USE.PCAP.KG.OE,3286.26599451763,3303.97268173668,3469.43506166397,3565.24432327227,3658.50755395167,4030.08185259047,6138.77344250291,6889.71721193841,5927.85053888478,5912.23573208102,6736.89412726066,7155.54208650969,6702.98586928623,6348.55461173282,6076.17706116413,6027.44597600521,5557.31259783447,5765.1904185145,5543.48208572922,5104.14096385215,5696.16549726549,5933.45046971652,5867.32005628854,..,..,..
Oman,OMN,Electric power consumption (kWh per capita),EG.USE.ELEC.KH.PC,3182.11355965105,3413.09928894126,3518.40283423329,3583.2195333269,3894.26073707773,4006.01349214286,4323.21521237318,4535.87967195995,5017.64876763211,5626.41288893673,6089.69314358287,6185.72181217728,6091.44468758475,6095.59997840327,6485.79528632416,7071.1451541795,7056.22134257006,7234.10520042773,7407.76667144423,7686.15718495283,7634.49926003268,8255.88877847954,8157.53835017608,..,..,..
Oman,OMN,Oil rents (% of GDP),NY.GDP.PETR.RT.ZS,44.475781466106,36.285347329679,33.51317909328,33.3255110511249,36.7966643908859,42.841561539357,40.7520000982427,37.7986997972135,37.9131008037865,30.5131215016084,32.5688653439524,40.4074409203453,37.5396768679582,35.9895065337986,31.6791185960483,18.8680645519097,16.2724873177614,19.3050063067708,23.7087990780384,21.6117797561797,14.994277961787,23.5387435070386,..,..,..,..
Oman,OMN,Gross fixed capital formation (current US$),NE.GDI.FTOT.CD,3795838751.62549,4099349804.94148,4646814044.21326,5805461638.49155,7523797139.14174,8946944083.22497,11434070221.0663,15492847854.3563,23660598179.4538,20681404421.3264,19205721716.515,22127698309.4928,24171131339.4018,26930559167.7503,27649674902.4707,26770611183.355,29524837451.2354,26942782834.8505,27901430429.1287,25496488946.684,23968010403.1209,23453055916.775,25204161248.3745,25777113133.9402,27358647594.2783,..
Oman,OMN,Gross fixed capital formation (annual % growth),NE.GDI.FTOT.KD.ZG,-12.1212121212121,8.66007351654122,10.3056663042165,18.6600949251552,20.0424602319928,16.478277585544,2.52398556465101,29.5572106200768,31.6490507272788,-1.15269423401203,-7.44748567791216,8.23246217331499,7.11444366778929,9.55590095274258,2.70855669991444,1.26531559079694,15.1148503717279,-3.45170685818695,0.50872229196726,-10.4119089121093,1.84474201704279,-15.6910220260717,1.82974856104209,2.39305051466651,7.12758292076332,..
Oman,OMN,Gross fixed capital formation (% of GDP),NE.GDI.FTOT.ZS,17.0526241996542,18.4607816727375,20.1461319020826,23.4718877824629,26.5119092350413,25.1977674255076,26.8546401891137,32.0760304768059,33.8954318011617,37.2946379577997,29.5502200880352,28.5527790642262,27.6529589064736,29.9441302009231,29.827342408565,34.0113599191126,39.298992626441,33.3216466062388,30.4914165529786,28.9532596561073,31.5744572963491,26.8575768406004,22.9435774082352,24.2780164981252,25.5360863533197,..
